ALARM on 4/8/2018 9:02:28 PM - Tag AItag3 value: 99.4521895368273 | High limit: 95
ALARM on 4/8/2018 9:02:28 PM - Tag AItag1 value: 99.4521895368273 | High limit: 90
ALARM on 4/8/2018 9:02:29 PM - Tag AItag3 value: 99.8629534754574 | High limit: 95
ALARM on 4/8/2018 9:02:29 PM - Tag AItag1 value: 99.8629534754574 | High limit: 90
ALARM on 4/8/2018 9:02:30 PM - Tag AItag3 value: 100 | High limit: 95
ALARM on 4/8/2018 9:02:30 PM - Tag AItag1 value: 100 | High limit: 90
ALARM on 4/8/2018 9:02:31 PM - Tag AItag3 value: 99.8629534754574 | High limit: 95
ALARM on 4/8/2018 9:02:31 PM - Tag AItag1 value: 99.8629534754574 | High limit: 90
ALARM on 4/8/2018 9:02:32 PM - Tag AItag3 value: 99.4521895368273 | High limit: 95
ALARM on 4/8/2018 9:02:32 PM - Tag AItag1 value: 99.4521895368273 | High limit: 90
ALARM on 4/8/2018 9:02:33 PM - Tag AItag3 value: 98.7688340595138 | High limit: 95
ALARM on 4/8/2018 9:02:33 PM - Tag AItag1 value: 98.7688340595138 | High limit: 90
ALARM on 4/8/2018 9:02:34 PM - Tag AItag3 value: 97.8147600733806 | High limit: 95
ALARM on 4/8/2018 9:02:35 PM - Tag AItag1 value: 97.8147600733806 | High limit: 90
ALARM on 4/8/2018 9:02:35 PM - Tag AItag3 value: 96.5925826289068 | High limit: 95
ALARM on 4/8/2018 9:02:36 PM - Tag AItag1 value: 96.5925826289068 | High limit: 90
ALARM on 4/8/2018 9:02:36 PM - Tag AItag3 value: 95.1056516295154 | High limit: 95
ALARM on 4/8/2018 9:02:37 PM - Tag AItag1 value: 95.1056516295154 | High limit: 90
ALARM on 4/8/2018 9:02:38 PM - Tag AItag1 value: 93.3580426497202 | High limit: 90
ALARM on 4/8/2018 9:02:39 PM - Tag AItag1 value: 91.3545457642601 | High limit: 90
ALARM on 4/8/2018 9:03:23 PM - Tag AItag1 value: 91.3545457642601 | High limit: 90
ALARM on 4/8/2018 9:03:24 PM - Tag AItag1 value: 93.3580426497202 | High limit: 90
ALARM on 4/8/2018 9:03:25 PM - Tag AItag1 value: 95.1056516295154 | High limit: 90
ALARM on 4/8/2018 9:03:26 PM - Tag AItag1 value: 96.5925826289068 | High limit: 90
ALARM on 4/8/2018 9:03:27 PM - Tag AItag1 value: 97.8147600733806 | High limit: 90
ALARM on 4/8/2018 9:03:28 PM - Tag AItag1 value: 98.7688340595138 | High limit: 90
ALARM on 4/8/2018 9:03:29 PM - Tag AItag1 value: 99.4521895368273 | High limit: 90
ALARM on 4/8/2018 9:03:30 PM - Tag AItag1 value: 99.8629534754574 | High limit: 90
ALARM on 4/8/2018 9:03:31 PM - Tag AItag1 value: 100 | High limit: 90
ALARM on 4/8/2018 9:03:32 PM - Tag AItag1 value: 99.8629534754574 | High limit: 90
ALARM on 4/8/2018 9:03:33 PM - Tag AItag1 value: 99.4521895368273 | High limit: 90
